Booking_Status,Vehicle_Type,Booking_Value,day_of_week,hour
Success,Prime SUV,277,Monday,8
Success,Auto,813,Saturday,20
Success,eBike,195,Saturday,22
Canceled by Driver,Prime Sedan,271,Saturday,15
Canceled by Customer,eBike,296,Thursday,20
Success,Prime Sedan,437,Monday,14
Success,Mini,129,Thursday,18
Success,Auto,399,Sunday,21
Success,Bike,490,Monday,0
Success,eBike,941,Thursday,10
Success,Auto,628,Thursday,14
Success,Bike,280,Tuesday,17
Canceled by Customer,Prime Plus,529,Thursday,14
Success,Auto,327,Tuesday,15
Success,Prime Plus,131,Thursday,6
Success,Prime Sedan,248,Monday,1
Canceled by Driver,Bike,444,Monday,17
Success,Mini,238,Friday,19
Success,Bike,924,Friday,11
Success,Prime Sedan,242,Tuesday,0
Success,Bike,196,Saturday,3
Success,Bike,585,Wednesday,8
Success,Bike,533,Saturday,17
Success,Auto,323,Sunday,17
Canceled by Driver,Auto,467,Thursday,12
Success,Mini,304,Monday,5
Success,Prime Sedan,306,Tuesday,19
Success,Bike,246,Sunday,6
Success,Prime SUV,227,Friday,13
Success,Prime Plus,129,Friday,11
Driver Not Found,Prime Plus,244,Friday,21
Success,Mini,260,Tuesday,6
Success,Mini,262,Saturday,2
Success,eBike,657,Sunday,4
Success,Auto,177,Thursday,17
Success,Bike,711,Monday,1
Success,Prime Sedan,141,Wednesday,16
Driver Not Found,Bike,514,Thursday,2
Canceled by Customer,eBike,372,Tuesday,21
Success,Prime Plus,846,Saturday,1
Success,Prime Sedan,214,Tuesday,3
Success,Mini,392,Sunday,21
Driver Not Found,Mini,512,Saturday,21
Success,Mini,1337,Friday,6
Driver Not Found,Prime Sedan,641,Tuesday,6
Success,eBike,191,Tuesday,14
Success,Mini,860,Friday,17
Success,Prime Sedan,474,Thursday,1
Canceled by Driver,Mini,317,Monday,6
Success,Prime SUV,549,Thursday,6
Canceled by Driver,Prime SUV,298,Saturday,0
Success,Bike,120,Tuesday,1
Driver Not Found,Auto,458,Sunday,10
Success,Prime SUV,329,Thursday,4
Success,Prime SUV,249,Monday,9
Canceled by Driver,Auto,113,Monday,17
Success,Auto,393,Friday,3
Canceled by Driver,Prime Plus,634,Sunday,15
Canceled by Driver,Prime SUV,145,Wednesday,23
Success,Prime Sedan,187,Wednesday,21
Success,Auto,879,Tuesday,23
Success,Auto,182,Monday,17
Canceled by Driver,Mini,2503,Thursday,16
Success,Mini,410,Tuesday,13
Success,Prime Plus,652,Monday,18
Canceled by Customer,Prime Sedan,206,Thursday,10
Success,Prime Sedan,492,Saturday,6
Success,Prime SUV,366,Sunday,1
Success,Auto,184,Wednesday,19
Success,Mini,147,Monday,10
Success,Mini,311,Sunday,10
Success,Prime Sedan,442,Wednesday,5
Success,Prime Plus,383,Saturday,3
Canceled by Customer,Mini,244,Tuesday,2
Success,Prime Plus,215,Monday,20
Canceled by Driver,Mini,442,Thursday,2
Success,Auto,483,Thursday,9
Success,Bike,494,Tuesday,23
Success,eBike,383,Monday,3
Canceled by Driver,Prime Plus,240,Friday,6
Success,Bike,343,Thursday,9
Canceled by Driver,Prime Plus,144,Tuesday,15
Canceled by Driver,Prime Sedan,486,Monday,13
Success,Mini,150,Tuesday,9
Success,Prime SUV,186,Friday,5
Canceled by Customer,Mini,812,Monday,6
Canceled by Driver,Prime Plus,481,Wednesday,7
Success,Prime Sedan,483,Sunday,18
Success,eBike,275,Friday,23
Canceled by Customer,Auto,467,Thursday,9
Success,Prime Sedan,337,Wednesday,4
Driver Not Found,Mini,188,Friday,10
Canceled by Customer,Prime Sedan,987,Saturday,23
Success,eBike,616,Saturday,22
Success,Bike,833,Monday,4
Canceled by Driver,Bike,470,Saturday,10
Canceled by Customer,Mini,233,Tuesday,4
Success,Prime Plus,1554,Wednesday,13
Canceled by Customer,Bike,150,Wednesday,14
Canceled by Driver,Prime Sedan,207,Sunday,8
Success,Bike,128,Wednesday,23
Success,eBike,310,Thursday,3
Success,eBike,193,Wednesday,17
Success,Prime SUV,193,Monday,7
Canceled by Driver,Prime Plus,470,Tuesday,16
Driver Not Found,Prime Sedan,331,Thursday,10
Success,Auto,105,Friday,17
Success,Prime Plus,226,Saturday,18
Canceled by Driver,eBike,476,Saturday,7
Success,Mini,138,Tuesday,1
Canceled by Driver,Auto,250,Thursday,22
Driver Not Found,Prime Plus,231,Thursday,16
Canceled by Driver,Prime Plus,859,Saturday,20
Driver Not Found,Auto,375,Tuesday,8
Driver Not Found,eBike,386,Monday,23
Success,Prime SUV,797,Tuesday,2
Driver Not Found,Prime Plus,142,Thursday,12
Canceled by Driver,Bike,428,Tuesday,18
Success,Prime Plus,827,Friday,16
Success,Prime Sedan,142,Saturday,23
Canceled by Driver,Prime Plus,360,Saturday,15
Success,Mini,325,Friday,22
Canceled by Driver,Prime SUV,289,Saturday,21
Success,Auto,344,Wednesday,20
Success,Auto,348,Friday,6
Success,eBike,865,Friday,3
Success,Mini,168,Monday,8
Driver Not Found,Auto,151,Wednesday,13
Canceled by Driver,Mini,199,Friday,7
Success,Bike,669,Tuesday,1
Success,eBike,342,Monday,16
Success,Prime Sedan,199,Saturday,2
Canceled by Driver,Auto,453,Saturday,22
Driver Not Found,Mini,149,Thursday,23
Canceled by Driver,Mini,276,Monday,13
Success,Auto,171,Wednesday,20
Success,Bike,176,Sunday,1
Driver Not Found,eBike,255,Friday,15
Success,Mini,480,Wednesday,4
Success,Prime SUV,1427,Sunday,13
Canceled by Driver,Prime SUV,382,Sunday,2
Canceled by Driver,Prime SUV,155,Thursday,5
Success,Auto,425,Friday,2
Success,Mini,250,Wednesday,11
Success,Auto,750,Saturday,22
Canceled by Customer,Prime Sedan,455,Tuesday,5
Success,eBike,830,Friday,16
Success,Prime SUV,405,Thursday,18
Success,Prime Sedan,962,Saturday,15
Driver Not Found,Prime SUV,486,Wednesday,10
Success,Prime Sedan,1566,Friday,0
Success,Mini,646,Sunday,4
Canceled by Driver,Mini,127,Tuesday,10
Success,Prime Plus,337,Tuesday,0
Success,Auto,142,Sunday,13
Success,Mini,357,Saturday,1
Success,Auto,951,Saturday,19
Success,Auto,449,Thursday,16
Success,Prime Plus,109,Tuesday,10
Canceled by Customer,eBike,216,Sunday,0
Driver Not Found,Prime Sedan,447,Friday,0
Canceled by Driver,Auto,615,Monday,7
Success,Auto,368,Tuesday,23
Success,Auto,311,Tuesday,3
Canceled by Customer,Prime Sedan,255,Thursday,6
Success,Auto,150,Tuesday,14
Success,Prime Plus,398,Wednesday,9
Success,Prime SUV,858,Wednesday,16
Success,Prime SUV,360,Saturday,0
Success,Bike,238,Saturday,4
Success,Prime Sedan,328,Saturday,18
Success,Prime Sedan,593,Wednesday,3
Canceled by Driver,Bike,226,Saturday,23
Success,Prime SUV,1961,Tuesday,19
Success,Mini,128,Tuesday,10
Success,Prime SUV,874,Monday,2
Success,Prime SUV,427,Tuesday,17
Success,eBike,376,Monday,3
Success,Prime SUV,362,Wednesday,20
Success,Auto,145,Tuesday,0
Success,eBike,2481,Sunday,2
Success,Bike,129,Sunday,6
Success,Bike,967,Monday,21
Success,Auto,355,Monday,15
Success,Prime Plus,385,Monday,1
Success,Mini,172,Tuesday,13
Success,Auto,250,Wednesday,1
Success,eBike,430,Saturday,4
Canceled by Driver,Prime Sedan,214,Sunday,22
Success,Prime Sedan,338,Thursday,15
Success,Bike,249,Saturday,3
Success,Bike,737,Sunday,10
Success,Prime Sedan,414,Sunday,20
Success,Bike,968,Friday,19
Success,Bike,887,Wednesday,14
Success,Prime SUV,255,Friday,4
Success,Auto,460,Friday,17
Success,eBike,362,Friday,1
Success,Mini,313,Monday,21
Canceled by Driver,Prime Sedan,101,Friday,5
Success,eBike,434,Sunday,18
Success,Prime Plus,2860,Wednesday,23
Driver Not Found,Prime Plus,246,Saturday,22
Canceled by Driver,Bike,608,Monday,10
Canceled by Customer,Bike,777,Sunday,21
Success,Prime Sedan,395,Tuesday,21
Driver Not Found,Prime Sedan,339,Wednesday,7
Success,Prime Plus,105,Monday,8
Success,eBike,192,Sunday,14
Success,Bike,188,Thursday,20
Success,eBike,372,Friday,20
Success,Prime Plus,270,Monday,11
Success,Prime Sedan,2428,Friday,21
Driver Not Found,eBike,767,Thursday,15
Success,Prime SUV,332,Monday,18
Canceled by Customer,Prime Sedan,2279,Wednesday,6
Canceled by Driver,Auto,1491,Sunday,9
Success,Prime Sedan,216,Monday,5
Success,Mini,272,Wednesday,2
Success,Prime SUV,131,Monday,9
Canceled by Driver,Mini,365,Tuesday,15
Success,eBike,305,Friday,4
Canceled by Driver,Auto,226,Thursday,17
Canceled by Driver,Mini,466,Thursday,10
Success,Prime Sedan,648,Thursday,20
Canceled by Driver,Auto,126,Wednesday,1
Success,eBike,475,Thursday,0
Success,Auto,240,Friday,16
Canceled by Driver,Prime Sedan,662,Friday,7
Success,eBike,254,Friday,9
Success,Prime Plus,356,Monday,14
Success,Prime SUV,227,Sunday,16
Canceled by Customer,Prime Sedan,2404,Sunday,6
Canceled by Customer,Auto,250,Wednesday,10
Canceled by Driver,Prime Plus,301,Wednesday,6
Canceled by Customer,Bike,304,Wednesday,0
Success,eBike,1868,Wednesday,0
Success,eBike,232,Wednesday,14
Driver Not Found,Auto,318,Tuesday,1
Success,Auto,436,Saturday,12
Success,Prime Plus,613,Sunday,3
Success,Auto,2604,Monday,7
Success,Auto,814,Friday,8
Success,eBike,309,Saturday,1
Canceled by Driver,Prime Sedan,230,Wednesday,2
Success,Bike,251,Sunday,2
Success,Prime Sedan,387,Sunday,11
Success,Auto,160,Tuesday,15
Success,Auto,512,Wednesday,14
Canceled by Customer,Prime Plus,791,Monday,18
Success,Mini,256,Monday,12
Success,eBike,852,Monday,4
Driver Not Found,eBike,255,Friday,14
Canceled by Customer,Bike,103,Monday,19
Success,Prime Sedan,108,Thursday,12
Success,Prime Sedan,306,Thursday,1
Canceled by Customer,Prime SUV,459,Thursday,0
Driver Not Found,Prime Sedan,2615,Tuesday,3
Success,Bike,356,Saturday,10
Canceled by Customer,eBike,517,Saturday,2
Success,Prime Sedan,908,Tuesday,17
Success,Mini,327,Sunday,22
Success,Mini,298,Friday,0
Driver Not Found,Prime Plus,2773,Wednesday,22
Success,Mini,1656,Wednesday,1
Canceled by Customer,eBike,207,Thursday,1
Success,eBike,437,Tuesday,5
Canceled by Driver,Prime Plus,1018,Friday,22
Success,Prime Plus,495,Thursday,9
Canceled by Driver,Prime SUV,347,Tuesday,19
Success,Prime Plus,1948,Friday,20
Success,Auto,869,Wednesday,8
Success,Prime Plus,768,Tuesday,0
Success,Auto,451,Wednesday,18
Canceled by Driver,Mini,254,Sunday,14
Success,eBike,792,Thursday,19
Canceled by Customer,Bike,304,Friday,0
Success,Bike,429,Wednesday,3
Success,Bike,174,Wednesday,15
Success,Prime Sedan,167,Saturday,23
Success,Mini,189,Monday,22
Driver Not Found,Prime Sedan,249,Wednesday,17
Canceled by Customer,Prime SUV,429,Saturday,10
Canceled by Customer,Prime Sedan,426,Thursday,21
Success,Prime Plus,405,Monday,16
Success,Prime SUV,386,Tuesday,11
Success,Prime SUV,460,Tuesday,12
Success,Bike,485,Tuesday,4
Success,Prime Sedan,1136,Saturday,14
Success,Prime Sedan,2780,Monday,11
Success,Prime Plus,303,Friday,13
Success,Prime Sedan,594,Friday,9
Success,Bike,120,Wednesday,4
Canceled by Customer,eBike,688,Monday,17
Driver Not Found,Prime Plus,418,Monday,15
Success,Prime Sedan,130,Wednesday,21
Driver Not Found,eBike,879,Friday,12
Driver Not Found,Mini,174,Wednesday,2
Success,Bike,478,Monday,6
Driver Not Found,eBike,129,Tuesday,4
Canceled by Driver,Auto,262,Saturday,5
Success,Prime Plus,267,Saturday,14
Canceled by Driver,eBike,365,Tuesday,2
Canceled by Customer,Auto,367,Friday,10
Success,Prime Plus,114,Wednesday,17
Success,Mini,351,Monday,2
Canceled by Driver,Prime SUV,182,Sunday,12
Canceled by Driver,Prime SUV,423,Saturday,17
Success,Bike,180,Friday,21
Success,Mini,235,Wednesday,21
Success,Bike,198,Tuesday,5
Success,Mini,442,Wednesday,23
Success,Prime Sedan,211,Thursday,12
Success,Prime SUV,147,Tuesday,7
Driver Not Found,Bike,953,Wednesday,11
Success,Bike,261,Wednesday,13
Success,Bike,141,Sunday,9
Success,Auto,559,Monday,3
Success,Prime SUV,533,Monday,20
Success,Prime Sedan,248,Monday,10
Success,Prime SUV,150,Tuesday,17
Success,Prime SUV,444,Monday,17
Canceled by Driver,Auto,244,Tuesday,12
Success,Bike,849,Sunday,16
Success,Bike,2858,Monday,6
Driver Not Found,Auto,307,Monday,21
Canceled by Customer,Bike,500,Thursday,17
Success,Auto,210,Saturday,4
Canceled by Driver,Auto,128,Tuesday,13
Canceled by Customer,Prime Plus,334,Wednesday,11
Success,Mini,2285,Monday,10
Canceled by Customer,eBike,170,Tuesday,10
Success,eBike,286,Wednesday,18
Canceled by Driver,Prime Sedan,496,Wednesday,13
Canceled by Customer,Mini,869,Wednesday,10
Success,eBike,649,Tuesday,17
Success,Prime Sedan,272,Sunday,4
Success,Bike,186,Friday,12
Canceled by Driver,Prime SUV,528,Saturday,14
Success,Auto,283,Monday,23
Success,Bike,946,Tuesday,12
Success,Prime SUV,271,Thursday,17
Driver Not Found,Bike,1848,Thursday,18
Success,Mini,1304,Sunday,15
Success,Prime SUV,387,Saturday,0
Success,Bike,1137,Tuesday,13
Success,Prime Plus,240,Sunday,12
Success,Auto,351,Thursday,11
Canceled by Driver,Prime Plus,698,Thursday,21
Success,Bike,847,Sunday,15
Success,eBike,186,Tuesday,19
Driver Not Found,Prime Plus,266,Wednesday,12
Success,Auto,219,Friday,16
Success,Prime SUV,2517,Wednesday,16
Success,Bike,167,Wednesday,19
Canceled by Driver,Auto,350,Monday,19
Success,Prime Plus,308,Sunday,21
Success,Bike,694,Wednesday,12
Canceled by Driver,eBike,393,Wednesday,8
Success,Prime Sedan,429,Thursday,9
Success,Prime SUV,277,Wednesday,20
Canceled by Customer,Mini,342,Thursday,2
Success,Bike,764,Sunday,11
Success,Prime Plus,424,Saturday,6
Canceled by Driver,Prime Sedan,409,Saturday,22
Success,Auto,223,Monday,23
Success,Prime Plus,151,Saturday,20
Success,Mini,318,Wednesday,1
Canceled by Driver,Auto,483,Thursday,9
Success,Prime Plus,245,Friday,15
Success,Bike,322,Saturday,15
Success,Prime SUV,307,Thursday,4
Success,Prime SUV,640,Friday,9
Canceled by Customer,Auto,729,Monday,19
Canceled by Customer,Bike,241,Thursday,21
Success,Bike,208,Thursday,15
Driver Not Found,Auto,448,Wednesday,19
Success,Prime Plus,391,Wednesday,19
Success,Prime Sedan,998,Thursday,9
Success,Prime Sedan,820,Thursday,14
Canceled by Driver,eBike,614,Wednesday,9
Canceled by Driver,Prime Sedan,313,Thursday,15
Success,Bike,361,Friday,20
Success,Prime Sedan,365,Wednesday,18
Success,Mini,453,Friday,9
Success,eBike,374,Sunday,2
Success,Prime Plus,402,Wednesday,10
Success,Prime Plus,421,Monday,21
Success,Prime Plus,191,Monday,23
Success,Bike,447,Monday,14
Canceled by Driver,Prime SUV,594,Sunday,20
Success,Bike,900,Friday,19
Success,Bike,419,Thursday,13
Success,Prime Plus,367,Sunday,6
Success,Auto,464,Saturday,5
Success,Prime Sedan,124,Wednesday,18
Canceled by Driver,Prime Sedan,717,Monday,22
Canceled by Customer,Prime Plus,328,Monday,12
Canceled by Customer,Bike,148,Monday,1
Canceled by Driver,Prime Plus,318,Tuesday,0
Success,Prime Sedan,2568,Wednesday,22
Success,Auto,480,Tuesday,14
Success,Mini,2073,Wednesday,1
Canceled by Driver,Prime SUV,799,Saturday,6
Success,Prime Sedan,216,Thursday,22
Canceled by Driver,Prime Sedan,1237,Thursday,10
Success,Prime Plus,2208,Wednesday,8
Success,Bike,406,Wednesday,5
Success,Mini,710,Tuesday,3
Driver Not Found,Prime SUV,647,Tuesday,10
Canceled by Driver,Prime Plus,149,Monday,11
Success,Auto,228,Saturday,10
Success,Prime SUV,139,Wednesday,5
Success,Prime Plus,293,Saturday,1
Success,Auto,401,Thursday,2
Canceled by Driver,Prime Sedan,298,Saturday,8
Success,Prime Plus,183,Monday,18
Success,Auto,179,Thursday,4
Success,Prime Sedan,411,Tuesday,1
Success,Prime Sedan,1653,Wednesday,12
Canceled by Driver,Auto,691,Saturday,21
Success,Mini,555,Thursday,6
Success,Bike,796,Tuesday,17
Canceled by Driver,Prime SUV,191,Sunday,1
Success,Prime SUV,213,Monday,18
Success,Auto,1842,Monday,10
Canceled by Driver,Auto,301,Wednesday,4
Success,Prime Plus,526,Saturday,4
Canceled by Customer,Bike,618,Saturday,15
Success,Mini,724,Wednesday,6
Success,eBike,2129,Wednesday,20
Canceled by Customer,Prime SUV,429,Friday,11
Success,Mini,643,Monday,16
Success,Mini,2451,Sunday,11
Canceled by Driver,Prime Sedan,763,Wednesday,8
Canceled by Driver,Prime SUV,2997,Saturday,19
Canceled by Driver,eBike,214,Monday,18
Success,Mini,653,Tuesday,20
Canceled by Customer,Auto,168,Thursday,23
Success,Auto,801,Friday,13
Canceled by Customer,eBike,127,Monday,13
Success,Prime Sedan,503,Tuesday,7
Success,Bike,492,Friday,6
Success,Prime Sedan,219,Tuesday,3
Success,Prime Plus,145,Saturday,15
Success,eBike,605,Tuesday,22
Success,Bike,680,Sunday,0
Success,Mini,255,Thursday,6
Success,Bike,2277,Sunday,1
Success,Prime Sedan,379,Tuesday,3
Success,Prime SUV,110,Friday,3
Success,Auto,526,Saturday,1
Canceled by Customer,Prime Sedan,442,Thursday,4
Success,Bike,282,Thursday,21
Driver Not Found,Prime SUV,191,Friday,18
Canceled by Driver,eBike,634,Saturday,16
Success,Auto,184,Monday,1
Success,Prime Sedan,470,Tuesday,0
Success,Auto,559,Thursday,17
Success,Prime Plus,201,Wednesday,4
Success,Prime Sedan,433,Sunday,15
Driver Not Found,Prime Sedan,156,Thursday,0
Success,Auto,410,Wednesday,17
Canceled by Customer,Mini,351,Saturday,1
Driver Not Found,Bike,2906,Monday,7
Canceled by Driver,Prime Sedan,1755,Saturday,4
Success,Prime SUV,434,Tuesday,22
Canceled by Customer,eBike,109,Friday,3
Success,Bike,191,Saturday,12
Success,eBike,401,Wednesday,2
Canceled by Customer,Prime Sedan,356,Saturday,2
Success,Bike,453,Saturday,22
Success,Auto,954,Wednesday,18
Success,Prime Sedan,592,Thursday,12
Success,eBike,236,Sunday,21
Success,Auto,405,Saturday,9
Canceled by Driver,eBike,2466,Wednesday,13
Success,Mini,278,Tuesday,3
Driver Not Found,eBike,438,Monday,21
Canceled by Driver,Auto,128,Friday,23
Driver Not Found,Prime SUV,407,Sunday,2
Success,eBike,621,Wednesday,21
Canceled by Customer,Bike,521,Wednesday,23
Success,Prime Sedan,156,Saturday,19
Success,Mini,194,Tuesday,7
Success,Bike,288,Tuesday,21
Success,Auto,264,Saturday,4
Success,Prime SUV,389,Friday,22
Success,eBike,193,Sunday,23
Success,Mini,202,Saturday,15
Success,Prime Sedan,324,Wednesday,18
Success,Bike,518,Thursday,17
Success,Prime Plus,1884,Saturday,3
Driver Not Found,eBike,419,Monday,21
Canceled by Driver,Prime Plus,984,Wednesday,10
Success,Prime Plus,477,Monday,1
Canceled by Driver,Prime SUV,762,Monday,4
Success,Prime SUV,462,Friday,8
Success,Bike,120,Saturday,10
Success,Prime Sedan,455,Saturday,9
Success,Mini,957,Tuesday,15
Success,Bike,326,Friday,2
Success,eBike,204,Tuesday,6
