Vehicle Type,Booking Value,Ride Distance,Avg VTAT,Avg CTAT,Driver Ratings,Customer Rating,Payment Method
Bike,698.0,38.4,3.5,23.4,4.1,4.6,Cash
Auto,772.0,23.2,10.0,35.1,4.4,3.1,UPI
Go Sedan,94.0,14.12,5.9,24.7,4.0,4.7,Debit Card
Premier Sedan,368.0,17.03,5.3,28.0,4.1,4.8,Cash
Premier Sedan,91.0,6.58,10.4,20.0,3.4,4.6,UPI
Premier Sedan,155.0,29.98,14.1,36.6,4.3,3.8,UPI
Go Sedan,701.0,39.26,9.9,30.6,4.9,4.3,Credit Card
Auto,123.0,14.31,9.1,40.6,4.2,4.0,UPI
eBike,457.0,7.49,14.6,42.1,4.2,3.7,UPI
Auto,321.0,11.14,12.2,22.9,4.3,3.1,Cash
Auto,259.0,8.2,13.8,34.9,3.6,4.8,UPI
Auto,473.0,38.72,7.3,36.0,4.6,4.7,Cash
Go Sedan,148.0,13.84,6.8,36.7,4.6,4.9,Credit Card
Auto,680.0,25.12,7.5,35.0,4.6,4.1,UPI
Premier Sedan,426.0,47.84,14.9,25.6,4.2,5.0,UPI
Auto,612.0,28.23,11.1,33.8,3.9,4.8,Debit Card
Go Mini,142.0,28.77,11.3,19.0,4.4,4.6,UPI
Go Mini,691.0,20.09,3.1,25.0,4.1,4.6,Uber Wallet
Auto,1312.0,12.32,2.3,18.8,4.6,4.0,Debit Card
Bike,383.0,37.64,14.6,18.2,4.5,3.9,Credit Card
Go Mini,318.0,17.56,14.6,40.6,4.9,5.0,Credit Card
Premier Sedan,139.0,9.38,11.0,38.7,4.2,4.2,Cash
Auto,137.0,17.25,7.7,28.6,4.2,5.0,Uber Wallet
Go Sedan,411.0,43.67,8.6,36.0,4.7,4.9,UPI
Premier Sedan,653.0,19.17,4.3,28.1,4.3,4.9,UPI
Bike,1457.0,18.41,13.9,28.6,4.3,4.3,UPI
Premier Sedan,234.0,14.19,3.3,39.7,4.2,4.9,UPI
Auto,197.0,24.93,3.3,37.7,4.3,4.6,Cash
Go Mini,314.0,18.83,12.4,37.8,4.3,4.3,UPI
Bike,420.0,19.48,11.9,15.5,4.7,4.9,UPI
Bike,569.0,30.5,8.4,21.0,4.9,3.7,UPI
Go Sedan,778.0,15.99,3.1,18.2,3.7,4.1,Credit Card
Go Mini,259.0,43.21,14.0,29.9,3.6,4.2,Debit Card
Go Mini,587.0,2.23,4.6,38.2,4.7,4.9,Credit Card
Auto,173.0,14.85,11.0,27.2,3.7,3.4,UPI
Go Sedan,448.0,15.96,3.0,20.4,3.0,4.2,Cash
Premier Sedan,292.0,39.98,13.3,25.9,3.3,4.5,UPI
Auto,986.0,43.72,4.1,18.8,4.9,4.8,UPI
Go Mini,832.0,15.46,6.7,15.4,4.2,4.3,Cash
Auto,929.0,11.71,4.8,23.5,4.6,4.4,UPI
Go Mini,594.0,34.06,9.9,23.0,4.6,4.3,UPI
Auto,448.0,12.93,2.0,21.9,3.1,4.2,Uber Wallet
Go Sedan,484.0,40.49,12.6,34.1,4.3,4.2,Uber Wallet
Bike,90.0,22.69,13.8,16.6,3.9,4.3,UPI
Go Sedan,666.0,38.36,5.6,29.1,4.9,4.9,UPI
Go Mini,495.0,46.32,5.5,34.5,4.2,4.6,Uber Wallet
Bike,1296.0,41.98,7.5,35.8,3.1,4.2,UPI
Go Mini,246.0,33.1,2.3,19.8,4.5,4.6,Cash
Premier Sedan,620.0,19.73,8.5,40.4,4.9,4.3,UPI
Premier Sedan,565.0,19.74,6.9,22.1,4.6,4.9,Cash
Go Sedan,383.0,39.05,5.5,39.3,4.2,4.8,Debit Card
Go Mini,389.0,35.59,3.0,37.4,4.2,3.6,Uber Wallet
Go Mini,90.0,22.02,12.3,20.3,4.3,4.4,UPI
Go Sedan,482.0,15.45,4.6,15.3,3.9,4.7,UPI
Go Mini,709.0,23.4,6.2,37.5,4.1,5.0,UPI
Go Mini,1210.0,4.63,10.5,35.5,4.0,4.5,Debit Card
Go Sedan,427.0,12.17,7.7,39.3,4.3,3.7,Credit Card
Go Mini,693.0,28.69,14.2,36.5,3.7,4.9,UPI
Bike,317.0,41.45,14.9,33.4,4.3,4.2,UPI
Go Mini,172.0,48.14,13.2,36.2,3.9,4.8,UPI
Auto,943.0,4.09,2.1,23.9,4.3,5.0,Debit Card
Premier Sedan,233.0,49.92,10.7,30.4,4.3,3.9,Cash
Auto,831.0,14.81,13.2,26.5,4.5,4.6,Credit Card
Bike,456.0,15.19,14.7,36.7,4.3,4.9,Cash
Premier Sedan,620.0,42.68,5.3,30.0,4.2,4.7,Cash
Go Sedan,243.0,27.7,3.6,15.2,3.8,3.8,Uber Wallet
Go Mini,194.0,10.38,12.1,39.2,4.7,4.9,Uber Wallet
Premier Sedan,128.0,48.17,6.8,40.3,4.4,4.5,UPI
Go Mini,222.0,9.46,7.7,15.4,4.2,3.9,UPI
Bike,496.0,48.59,13.0,26.7,4.9,4.6,Cash
Go Mini,1118.0,47.19,8.1,36.9,4.2,4.6,Cash
Auto,495.0,18.94,12.8,32.9,3.5,4.1,Cash
Go Mini,356.0,18.93,7.3,33.6,4.1,4.3,UPI
Go Sedan,89.0,36.02,14.3,38.8,4.9,4.5,UPI
Auto,664.0,6.66,6.0,29.9,4.9,4.1,Cash
Go Mini,335.0,16.84,4.6,44.5,4.7,4.8,Cash
Bike,108.0,14.1,14.1,28.7,4.4,4.3,UPI
Auto,287.0,32.15,14.9,20.8,4.3,5.0,UPI
Bike,677.0,23.35,11.9,31.8,5.0,4.2,Uber Wallet
Premier Sedan,706.0,20.99,12.8,45.0,4.2,3.4,Uber Wallet
Auto,696.0,9.36,14.7,35.2,4.2,4.9,Cash
Auto,98.0,31.01,3.0,17.1,4.4,4.9,Cash
Go Mini,286.0,4.59,11.2,30.5,4.2,4.2,UPI
Auto,293.0,38.9,3.8,25.7,3.7,3.9,UPI
Uber XL,84.0,4.6,3.4,17.7,4.6,3.8,UPI
eBike,256.0,47.68,9.9,26.2,4.4,3.8,Credit Card
Go Sedan,957.0,6.44,2.7,15.9,3.2,4.5,UPI
Auto,809.0,32.05,8.5,44.2,4.4,4.6,Cash
Go Sedan,592.0,3.82,7.5,36.9,4.2,3.6,UPI
Go Mini,279.0,16.99,14.9,28.1,4.6,3.9,Cash
Go Sedan,694.0,16.01,7.4,25.8,3.8,5.0,UPI
eBike,1247.0,2.74,7.4,28.4,4.3,4.6,Debit Card
Go Sedan,210.0,4.5,3.6,34.2,3.7,4.1,UPI
Uber XL,418.0,19.26,10.6,22.2,4.7,3.3,UPI
Premier Sedan,345.0,28.8,5.8,41.5,3.6,4.6,Uber Wallet
Go Mini,403.0,20.05,12.4,39.5,4.2,4.8,Credit Card
Go Mini,990.0,33.91,3.3,33.0,4.2,4.6,UPI
Go Sedan,84.0,35.28,10.2,19.7,3.3,3.8,Cash
Premier Sedan,279.0,29.75,5.6,27.7,3.9,4.9,UPI
Premier Sedan,617.0,5.11,12.5,22.7,4.9,4.8,Cash
Go Sedan,133.0,3.37,4.6,27.0,4.3,3.9,Uber Wallet
Premier Sedan,155.0,29.6,12.4,35.3,4.2,4.4,Credit Card
Bike,348.0,47.71,13.1,44.8,4.2,4.7,UPI
Go Sedan,301.0,33.97,2.8,15.5,4.3,4.5,UPI
Auto,1195.0,29.19,12.6,30.6,3.7,4.1,Debit Card
Go Sedan,67.0,22.45,8.5,23.3,4.5,4.3,UPI
eBike,2288.0,17.84,3.2,20.2,4.3,4.6,Uber Wallet
eBike,167.0,46.32,7.2,27.1,4.4,4.7,Uber Wallet
Auto,402.0,29.97,13.9,30.7,3.7,4.2,Cash
Go Mini,984.0,25.1,2.4,42.2,4.4,4.6,Cash
Bike,458.0,25.49,4.9,38.2,4.5,4.9,Uber Wallet
Go Mini,182.0,40.23,2.9,36.9,4.3,4.6,Uber Wallet
Auto,662.0,17.62,4.9,36.2,3.7,4.5,Uber Wallet
Go Mini,512.0,41.77,2.6,16.5,4.9,4.2,Uber Wallet
Go Sedan,546.0,15.66,3.1,20.2,3.0,4.4,Uber Wallet
eBike,783.0,44.91,14.0,31.2,3.7,4.2,UPI
Bike,193.0,21.12,3.2,25.1,4.1,3.4,Debit Card
Go Mini,796.0,31.06,10.0,30.9,4.2,4.9,Uber Wallet
Auto,943.0,36.36,7.7,16.6,3.7,4.2,UPI
Go Mini,241.0,33.44,13.9,36.0,4.2,4.3,Cash
Go Mini,390.0,42.67,12.7,18.6,3.8,4.2,Cash
Bike,491.0,37.23,7.7,41.1,4.4,4.5,UPI
Bike,469.0,25.81,3.8,44.1,3.9,3.7,Debit Card
eBike,623.0,41.37,6.9,30.9,4.7,5.0,Cash
Premier Sedan,243.0,49.55,11.6,41.6,4.3,3.3,UPI
Bike,233.0,45.32,7.7,24.5,4.1,4.9,Cash
Bike,953.0,31.16,8.2,31.6,3.9,4.9,Cash
eBike,147.0,31.9,6.7,36.7,4.1,4.5,Credit Card
Bike,145.0,8.95,11.4,31.7,4.3,3.7,UPI
Go Mini,595.0,34.02,5.5,17.8,4.6,4.5,Uber Wallet
Go Sedan,392.0,47.55,7.3,41.3,4.6,3.9,Uber Wallet
Premier Sedan,753.0,17.5,12.5,42.7,3.2,4.2,UPI
Go Sedan,591.0,28.0,12.9,36.9,4.1,4.5,UPI
Bike,682.0,45.08,13.1,22.0,4.2,4.6,UPI
Uber XL,80.0,33.92,4.9,32.8,4.3,5.0,UPI
Bike,664.0,8.25,7.0,35.0,4.2,4.6,Credit Card
Premier Sedan,656.0,28.86,12.9,28.9,3.9,4.7,Credit Card
Premier Sedan,478.0,35.52,2.9,26.8,3.4,4.1,Uber Wallet
Go Mini,410.0,13.8,12.6,28.7,4.7,4.4,UPI
Premier Sedan,758.0,34.94,14.6,25.5,3.7,4.3,UPI
Go Sedan,159.0,18.15,7.6,20.7,4.6,4.6,UPI
Bike,459.0,27.57,8.4,42.1,4.0,4.1,Cash
Go Sedan,1424.0,19.22,3.3,25.5,4.1,4.6,Uber Wallet
Premier Sedan,939.0,38.65,4.1,36.0,3.5,5.0,Cash
Auto,255.0,23.42,5.8,32.0,4.1,4.3,UPI
Premier Sedan,827.0,28.5,11.0,16.0,3.8,4.7,UPI
Premier Sedan,259.0,38.05,12.8,35.2,3.7,3.9,Debit Card
Go Sedan,416.0,12.49,7.2,44.6,3.2,4.2,UPI
Go Mini,219.0,47.82,6.7,36.4,4.2,4.6,Cash
Auto,421.0,38.65,13.2,41.7,3.8,4.6,Debit Card
Auto,345.0,25.32,14.1,42.9,4.8,5.0,Cash
Go Mini,83.0,12.48,6.4,42.4,3.9,4.3,Debit Card
Auto,463.0,25.35,7.3,31.4,5.0,4.1,Credit Card
Go Mini,403.0,8.38,12.7,22.2,4.5,4.9,UPI
Go Mini,135.0,12.24,10.1,33.3,4.1,4.9,Uber Wallet
eBike,1601.0,18.05,6.5,38.1,4.3,4.8,UPI
Go Sedan,164.0,27.62,6.2,44.2,4.1,4.3,Uber Wallet
eBike,392.0,42.4,8.6,29.1,4.3,4.4,UPI
Go Sedan,495.0,18.98,12.0,27.3,3.1,4.6,Uber Wallet
Auto,453.0,37.77,5.6,32.1,4.3,4.9,Credit Card
Auto,479.0,15.3,4.1,22.1,3.7,4.8,Uber Wallet
Auto,350.0,4.04,12.4,38.1,4.6,4.8,UPI
Premier Sedan,369.0,45.74,8.8,30.8,4.9,4.9,UPI
Auto,793.0,16.38,11.5,16.3,4.3,4.5,Credit Card
Bike,194.0,29.82,6.3,26.1,4.6,4.2,Uber Wallet
Go Mini,180.0,19.27,11.3,32.9,4.4,4.8,Cash
Uber XL,192.0,15.78,6.6,41.5,4.2,4.5,UPI
Go Mini,616.0,47.43,2.9,24.2,3.8,4.7,Cash
Bike,162.0,13.73,2.9,22.3,4.6,4.2,UPI
Go Mini,993.0,18.53,2.4,35.0,3.8,4.5,Debit Card
Auto,417.0,38.12,11.7,30.7,5.0,4.3,Uber Wallet
Go Mini,485.0,11.96,6.0,29.0,3.5,4.3,Uber Wallet
Bike,556.0,33.55,6.3,30.6,3.3,4.6,UPI
Auto,203.0,18.86,4.1,20.9,4.1,4.2,Credit Card
Auto,980.0,7.69,12.8,15.2,4.5,4.6,Credit Card
Premier Sedan,229.0,46.61,2.1,20.9,4.2,4.1,UPI
Bike,638.0,24.48,2.5,26.6,3.7,4.3,Credit Card
Premier Sedan,725.0,33.02,13.4,43.8,4.6,4.9,Cash
Go Mini,668.0,26.83,9.0,29.8,3.9,4.3,UPI
Auto,371.0,12.89,5.1,34.3,4.6,4.3,UPI
Bike,438.0,32.89,10.0,24.0,3.2,4.9,Cash
Auto,311.0,14.66,13.3,36.9,3.2,5.0,Uber Wallet
Auto,824.0,21.61,12.0,31.0,4.9,4.3,UPI
Go Mini,449.0,44.48,13.7,30.8,4.6,3.4,Credit Card
Go Mini,470.0,43.02,6.5,38.9,5.0,3.9,UPI
Auto,347.0,45.4,4.7,36.1,4.9,4.2,Cash
Go Mini,893.0,37.65,11.9,23.4,3.0,4.8,Cash
Auto,644.0,16.62,6.4,40.5,3.7,4.6,Cash
Auto,335.0,39.43,7.2,22.6,3.2,3.7,Cash
Premier Sedan,122.0,2.2,10.2,38.5,3.3,4.7,UPI
Auto,186.0,37.2,9.8,23.9,4.2,4.4,Cash
Premier Sedan,598.0,44.91,14.6,18.2,4.5,4.3,Cash
eBike,161.0,34.52,8.0,15.9,3.6,4.2,UPI
Bike,105.0,18.63,9.0,33.9,5.0,4.7,Cash
Auto,783.0,28.13,14.3,35.6,4.7,3.2,UPI
Premier Sedan,844.0,17.12,13.5,17.1,3.4,4.6,Uber Wallet
Go Mini,759.0,34.01,6.9,44.0,4.7,3.1,Credit Card
Go Mini,754.0,28.9,11.4,35.1,4.9,4.2,Cash
Premier Sedan,385.0,31.31,10.0,31.1,4.2,4.4,UPI
Go Sedan,236.0,35.14,9.3,33.1,3.8,4.9,Uber Wallet
eBike,143.0,38.5,11.4,38.1,4.2,4.1,Credit Card
Auto,373.0,14.88,6.4,38.2,4.7,3.1,Debit Card
Auto,319.0,17.95,6.0,39.1,4.0,5.0,UPI
Bike,418.0,32.54,5.3,36.1,4.2,4.3,UPI
Auto,969.0,27.34,10.1,23.5,4.3,4.3,UPI
Go Sedan,341.0,32.86,11.4,23.0,4.9,5.0,Cash
Auto,558.0,6.33,12.0,44.2,4.3,5.0,UPI
Go Sedan,1120.0,18.49,13.8,30.5,4.3,4.6,UPI
Bike,484.0,18.62,10.6,38.3,3.3,4.6,Uber Wallet
Go Sedan,124.0,46.29,7.6,22.0,4.4,4.4,Cash
Go Sedan,227.0,43.53,10.8,22.1,4.6,4.8,Cash
eBike,90.0,44.47,8.6,20.2,4.2,4.3,UPI
Bike,688.0,45.97,3.5,44.7,4.6,5.0,UPI
Bike,249.0,37.21,14.6,34.7,3.0,5.0,UPI
Go Mini,338.0,20.26,2.7,17.5,4.2,4.8,Uber Wallet
Go Sedan,274.0,34.12,8.0,35.6,4.3,4.3,Debit Card
Bike,191.0,13.77,8.4,15.6,3.7,4.3,UPI
eBike,974.0,13.32,8.9,35.4,4.2,4.8,Uber Wallet
Bike,658.0,7.03,10.5,15.8,4.2,4.0,Cash
Bike,431.0,30.13,12.4,37.4,3.7,4.5,UPI
Premier Sedan,352.0,31.92,4.3,40.8,4.2,4.6,Credit Card
Go Sedan,437.0,17.46,5.4,44.7,3.7,4.6,UPI
Auto,79.0,46.36,7.9,17.1,3.8,4.2,UPI
Go Mini,1369.0,20.37,10.1,15.7,5.0,3.9,UPI
Premier Sedan,287.0,35.7,7.5,25.5,4.3,4.4,UPI
Bike,418.0,43.77,5.7,17.8,3.2,4.1,Credit Card
Go Mini,147.0,39.2,11.6,18.8,4.3,3.2,Uber Wallet
Auto,554.0,10.99,3.3,31.7,5.0,4.9,Cash
Go Mini,487.0,46.62,12.8,44.3,3.7,3.3,UPI
Go Sedan,778.0,41.92,9.8,37.9,4.3,4.9,Cash
Go Mini,461.0,37.73,5.1,40.3,4.2,4.1,Credit Card
Premier Sedan,308.0,2.34,7.2,20.9,4.2,4.3,UPI
Premier Sedan,352.0,19.3,14.9,20.0,3.4,4.6,Uber Wallet
Auto,153.0,30.51,9.6,41.2,4.6,4.3,Uber Wallet
Premier Sedan,1289.0,8.67,6.7,21.1,3.9,3.7,UPI
Bike,351.0,35.04,12.5,40.9,4.2,4.2,Cash
Premier Sedan,317.0,25.12,5.9,32.6,4.4,4.2,Credit Card
Go Mini,713.0,23.21,7.4,22.4,4.2,4.4,UPI
Premier Sedan,763.0,26.63,11.8,15.5,4.2,4.4,Credit Card
Premier Sedan,645.0,36.64,8.2,41.8,4.9,4.9,Cash
Go Sedan,197.0,34.27,2.4,37.3,4.3,4.0,UPI
Premier Sedan,841.0,9.86,3.1,40.2,4.1,4.5,Uber Wallet
Premier Sedan,379.0,29.55,9.7,36.0,4.3,4.3,Credit Card
Uber XL,298.0,27.8,10.9,21.8,4.2,4.7,UPI
Go Mini,402.0,31.25,2.1,36.1,4.2,4.9,UPI
Go Sedan,391.0,27.04,5.1,26.0,4.5,4.5,UPI
Bike,572.0,34.56,4.3,26.0,3.8,4.6,UPI
Auto,424.0,19.4,14.9,25.4,4.3,4.8,Uber Wallet
Auto,245.0,29.47,9.7,18.2,4.6,4.8,Credit Card
Premier Sedan,204.0,32.36,12.8,18.5,4.3,4.8,UPI
Bike,240.0,13.81,11.4,43.2,4.9,4.0,Credit Card
Premier Sedan,778.0,20.11,13.4,42.7,3.8,4.0,UPI
Bike,579.0,28.18,8.9,20.9,3.6,5.0,Credit Card
Bike,241.0,48.43,12.1,39.0,4.6,4.0,Uber Wallet
Premier Sedan,193.0,10.19,4.3,28.8,4.7,4.9,Cash
Go Mini,289.0,27.18,4.3,41.4,4.5,5.0,Uber Wallet
Bike,223.0,23.78,11.1,26.0,4.2,3.7,Cash
Premier Sedan,118.0,31.34,2.8,31.8,3.6,4.7,Cash
Premier Sedan,85.0,11.26,13.3,26.0,4.1,5.0,Cash
Bike,354.0,25.62,9.0,24.1,4.3,4.9,UPI
eBike,650.0,44.81,9.0,38.5,3.7,4.1,Cash
Premier Sedan,1160.0,8.5,4.0,19.0,4.5,5.0,Debit Card
Go Mini,463.0,19.22,2.7,25.6,3.7,4.9,UPI
Uber XL,488.0,8.09,2.8,22.2,4.3,4.7,Uber Wallet
Auto,430.0,2.67,14.8,20.1,4.8,4.2,Credit Card
Go Mini,333.0,24.55,6.5,15.5,3.9,4.9,UPI
Auto,454.0,2.21,10.7,25.8,4.2,4.4,UPI
Go Mini,1052.0,47.46,11.1,26.0,4.3,5.0,Uber Wallet
Bike,161.0,45.66,12.9,30.2,4.8,3.5,UPI
Bike,550.0,29.19,6.1,37.5,4.2,4.4,UPI
Go Mini,123.0,30.67,2.5,39.5,4.3,4.9,UPI
Auto,475.0,3.92,5.8,26.3,4.8,3.0,UPI
Bike,572.0,19.12,13.4,20.8,4.3,3.9,UPI
Premier Sedan,969.0,25.98,12.2,18.6,4.3,4.8,Uber Wallet
Bike,465.0,9.47,9.2,42.9,3.7,4.2,Cash
Go Sedan,264.0,19.51,5.6,17.7,4.2,3.8,UPI
Bike,278.0,9.61,10.2,29.8,5.0,3.8,UPI
Auto,534.0,16.47,3.1,23.8,3.1,3.8,Cash
Auto,210.0,10.76,12.8,25.4,4.0,4.4,Uber Wallet
eBike,97.0,48.57,3.5,33.6,4.6,3.1,Uber Wallet
Go Sedan,2036.0,38.54,10.4,16.4,4.1,4.9,UPI
Premier Sedan,599.0,17.97,12.1,28.3,3.8,4.9,UPI
Bike,217.0,17.67,4.8,32.0,4.7,3.4,UPI
Go Mini,381.0,12.7,5.5,36.0,4.3,4.3,Debit Card
Auto,332.0,12.76,9.4,16.3,4.6,3.8,Cash
Auto,1210.0,32.01,9.0,39.6,4.3,4.8,UPI
Premier Sedan,871.0,43.31,3.1,31.8,4.3,4.2,Cash
Auto,199.0,22.24,3.9,23.0,4.9,4.4,Credit Card
Bike,1078.0,41.63,9.2,36.0,4.7,4.9,UPI
Go Sedan,624.0,20.65,11.3,45.0,4.6,4.9,Credit Card
Go Mini,113.0,34.73,6.0,23.1,4.2,4.5,Cash
Auto,857.0,37.95,6.4,30.4,4.2,4.6,UPI
Auto,891.0,41.78,7.0,24.2,3.8,3.9,Cash
eBike,499.0,46.57,12.5,21.2,4.3,4.3,Debit Card
Premier Sedan,3437.0,41.49,4.1,33.0,4.3,5.0,UPI
Go Sedan,950.0,35.52,2.8,19.7,4.6,4.2,Debit Card
Go Sedan,225.0,40.31,8.3,31.8,4.3,4.8,UPI
Go Mini,1051.0,19.8,14.7,19.8,4.6,4.1,UPI
Premier Sedan,1502.0,23.17,12.0,23.8,4.9,4.6,UPI
Premier Sedan,457.0,36.03,8.9,24.1,4.4,4.3,UPI
Auto,510.0,36.74,5.6,32.0,4.9,4.8,Credit Card
Auto,598.0,24.65,5.0,29.2,3.9,4.2,UPI
Premier Sedan,215.0,13.53,10.1,38.6,3.9,4.1,UPI
Auto,890.0,31.99,12.1,20.4,4.3,4.2,Debit Card
Auto,928.0,46.19,8.8,25.1,3.7,5.0,Debit Card
Go Sedan,742.0,21.7,6.1,19.1,5.0,4.6,Cash
