fare_amount,distance_km,passenger_count,pickup_hour,pickup_day_of_week,pickup_month,is_weekend,pickup_year
40.0,14.7679353544876,1,16,Friday,February,0,2015
6.1,1.103853284561567,1,9,Thursday,October,0,2009
25.7,16.050897261406075,1,22,Thursday,January,0,2009
5.5,1.229425735526524,1,12,Friday,May,0,2014
37.83,11.798320068964031,1,20,Thursday,August,0,2013
7.3,2.786674187730768,1,20,Monday,June,0,2010
6.5,2.0128636404082485,3,12,Tuesday,December,0,2011
16.5,4.408583681220471,1,9,Monday,July,0,2013
4.1,1.0721802684081425,3,12,Thursday,April,0,2009
9.5,1.1658914088505312,1,21,Friday,September,0,2013
8.1,1.4077597244926308,1,8,Wednesday,September,0,2010
5.7,1.6088576338463674,5,13,Sunday,March,1,2009
10.9,4.4215014816565485,1,9,Thursday,November,0,2010
14.1,5.761540435813863,4,19,Monday,August,0,2011
12.5,5.607300292327583,1,12,Sunday,September,1,2009
8.5,2.116287393582517,5,8,Tuesday,May,0,2014
13.5,4.235009602223931,1,22,Tuesday,October,0,2013
6.5,1.3667211845775822,1,22,Wednesday,June,0,2009
6.1,1.8475178809649055,1,16,Monday,March,0,2012
15.1,6.180502597915567,1,19,Tuesday,February,0,2009
9.5,3.603829453652154,1,3,Sunday,April,1,2015
6.5,2.480607016175823,1,1,Saturday,March,1,2009
20.0,3.822673649168049,1,9,Tuesday,April,0,2014
4.9,1.4864234712969775,1,15,Tuesday,May,0,2009
3.0,0.4171521590892782,1,19,Monday,July,0,2014
5.5,0.9254004930665297,1,10,Sunday,February,1,2015
8.5,2.1033330580643055,1,21,Saturday,February,1,2011
15.0,5.749558459347667,2,23,Saturday,December,1,2012
20.1,8.2278552898106,1,20,Thursday,November,0,2011
14.0,3.250966816738566,1,20,Wednesday,April,0,2014
10.0,2.2756418743674898,1,18,Saturday,September,1,2014
6.5,0.8438017070282217,1,14,Wednesday,September,0,2013
13.0,2.984711332733768,1,15,Sunday,January,1,2015
4.5,0.964284532755138,5,15,Wednesday,January,0,2012
21.0,6.52301388626642,1,22,Monday,March,0,2014
9.3,4.321982069582646,2,0,Saturday,March,1,2012
5.9,1.1137476032578935,1,17,Friday,April,0,2009
7.3,1.9095152869835625,1,14,Tuesday,December,0,2011
7.3,1.6469980746061295,5,16,Saturday,December,1,2009
4.5,0.9335702769425729,3,16,Saturday,March,1,2009
14.0,3.3043999553926087,5,19,Thursday,December,0,2013
120.3,35.825692085179476,3,0,Monday,September,0,2012
6.1,1.4971283105704294,1,16,Tuesday,August,0,2010
6.0,1.5754306640987898,1,23,Sunday,October,1,2013
6.9,3.1823062063945557,1,19,Monday,June,0,2012
29.450000000000006,11.057593003015311,1,16,Sunday,May,1,2009
4.5,0.591200277924828,2,16,Thursday,May,0,2013
4.0,0.38538965158317995,4,9,Friday,March,0,2014
4.9,0.9150667588405839,2,9,Sunday,July,1,2012
5.7,1.8526884224282998,1,17,Thursday,December,0,2011
49.57,0.7132338573791409,3,7,Wednesday,September,0,2010
8.1,3.5204513975061063,1,6,Tuesday,September,0,2009
12.5,4.174392847902291,1,11,Sunday,March,1,2011
9.0,1.3211135429066208,1,14,Thursday,July,0,2013
5.3,1.1228606188003523,1,2,Wednesday,August,0,2012
9.0,1.9015635111595357,1,9,Thursday,November,0,2012
22.5,6.634071414714773,1,9,Wednesday,March,0,2013
6.5,2.424579162346456,1,22,Thursday,April,0,2014
28.83,6.756833033995154,1,15,Sunday,June,1,2014
14.1,4.736794903299513,1,14,Monday,March,0,2010
22.0,7.448447231186839,1,9,Saturday,February,1,2013
10.9,5.115052285099595,1,11,Wednesday,March,0,2011
14.9,4.192531340987239,4,10,Wednesday,August,0,2009
25.5,5.0831554714089116,3,15,Tuesday,June,0,2013
5.3,1.9726436788560597,1,15,Sunday,December,1,2009
22.0,2.43771221831678,1,14,Sunday,March,1,2014
5.3,1.0143638528760728,1,12,Thursday,January,0,2011
10.0,3.6692857407604893,2,20,Wednesday,October,0,2014
6.1,1.4848980856553102,5,1,Saturday,June,1,2012
10.5,3.2226770180204367,1,21,Tuesday,June,0,2009
10.5,3.8081208991919,2,23,Sunday,May,1,2013
13.3,5.461833743387267,1,7,Friday,July,0,2009
10.0,2.3403643104691523,2,20,Monday,April,0,2015
14.5,7.08504003884307,1,8,Tuesday,March,0,2011
10.0,2.8796137185147774,2,11,Sunday,June,1,2015
5.7,1.4796345576818124,1,17,Saturday,January,1,2011
10.9,2.46315959899991,1,11,Sunday,October,1,2009
7.7,2.4697723559363514,1,22,Saturday,March,1,2012
29.87,8.984526193264344,2,15,Saturday,March,1,2010
14.0,4.281435465126836,1,23,Saturday,December,1,2014
6.0,1.4020905358509224,2,18,Saturday,May,1,2015
11.5,3.7681934226702953,1,18,Sunday,March,1,2013
8.0,1.1272543056672037,1,10,Tuesday,July,0,2014
7.7,1.9808463190883723,1,16,Wednesday,September,0,2011
15.5,3.3183933829616454,1,12,Friday,May,0,2013
17.5,5.832838484374521,2,23,Thursday,November,0,2013
5.5,0.7962088537488635,1,20,Sunday,June,1,2014
6.5,1.0313913208722414,1,11,Thursday,July,0,2013
37.7,16.653792081554307,1,14,Friday,May,0,2011
4.1,0.44093976785545025,1,19,Wednesday,January,0,2012
9.0,2.2107914639588957,6,10,Saturday,January,1,2013
9.0,2.660610828519945,1,22,Sunday,September,1,2013
5.5,1.5947220666262958,1,12,Monday,March,0,2014
5.3,1.0794175106381574,1,14,Friday,December,0,2009
6.5,1.911631245766555,1,14,Thursday,September,0,2013
11.0,1.8595522693774256,1,19,Wednesday,June,0,2014
58.0,0.0027823019151552004,1,1,Friday,September,0,2009
5.0,1.2564249970778607,1,0,Saturday,January,1,2009
32.83,9.454386529934427,1,15,Friday,September,0,2013
13.7,2.540276196467098,1,16,Monday,May,0,2011
14.1,5.6913525348928795,1,19,Tuesday,July,0,2009
5.0,0.8436326292628129,1,1,Friday,May,0,2015
5.7,1.3526936609284215,1,17,Monday,August,0,2010
14.9,5.411454410183254,1,7,Thursday,December,0,2009
27.3,6.675445753068702,1,18,Sunday,November,1,2012
17.5,4.071767952571677,1,18,Wednesday,February,0,2015
8.5,2.6948240998489896,4,11,Saturday,February,1,2014
9.7,2.148690421095612,1,17,Monday,June,0,2011
4.9,0.9484834649611517,1,11,Wednesday,February,0,2009
10.0,3.6539413907047336,1,23,Wednesday,November,0,2012
17.7,7.664631073650995,5,3,Wednesday,November,0,2011
5.0,1.3464477966709028,2,20,Wednesday,December,0,2012
6.9,1.715071057842527,1,2,Wednesday,November,0,2011
27.0,11.765659654753607,1,0,Saturday,July,1,2014
13.3,3.437903159106891,1,19,Tuesday,April,0,2012
28.67,9.53029695063179,1,21,Wednesday,October,0,2010
15.0,5.720690425843394,1,23,Wednesday,April,0,2014
20.5,7.399110277912867,1,17,Wednesday,March,0,2014
22.0,5.313285538409218,1,15,Thursday,March,0,2014
11.5,2.0331568762350076,1,13,Friday,May,0,2014
9.3,3.453584121856531,1,18,Sunday,June,1,2010
3.3,0.2883101368021044,2,18,Wednesday,October,0,2011
5.7,1.8530175421603212,1,21,Thursday,January,0,2009
13.7,2.8665716517417024,1,20,Thursday,January,0,2012
4.5,0.7742353388495011,5,11,Monday,October,0,2009
5.7,1.5075088393158262,1,19,Thursday,July,0,2010
9.0,3.2002373527322447,1,17,Thursday,March,0,2014
7.0,1.002009006026167,1,18,Wednesday,May,0,2015
4.5,1.2830422251211724,1,8,Tuesday,May,0,2015
30.5,12.803625815939055,1,2,Thursday,January,0,2015
10.9,3.6825571911040607,3,16,Monday,May,0,2012
6.9,1.6842653964618137,1,18,Thursday,June,0,2010
4.0,0.7535489728787723,1,20,Saturday,September,1,2013
11.7,3.1790285819925477,1,17,Wednesday,March,0,2009
5.5,1.016358606977231,1,17,Wednesday,February,0,2015
19.0,5.6175145932720385,1,10,Friday,August,0,2013
12.1,3.124140472351276,1,21,Saturday,February,1,2010
7.3,2.025100762142396,1,7,Friday,June,0,2009
7.0,1.3209668499062759,1,23,Saturday,September,1,2012
8.9,2.179456834238075,1,14,Friday,June,0,2011
17.7,8.186097760859012,4,2,Saturday,November,1,2009
4.5,0.808958311310489,5,18,Wednesday,July,0,2011
7.0,1.5274190260645593,1,20,Monday,October,0,2013
8.9,3.1632306900979765,1,14,Sunday,June,1,2011
18.5,6.783688873549923,6,3,Thursday,June,0,2015
8.6,2.240179246784078,2,22,Wednesday,April,0,2009
3.3,0.5598038835143521,1,18,Friday,August,0,2009
4.5,1.0534791303809452,1,14,Monday,December,0,2010
18.0,6.023728120517543,1,18,Friday,March,0,2015
9.5,0.9096344706640898,1,12,Monday,October,0,2013
6.1,0.8875284684039572,1,12,Thursday,January,0,2011
6.9,1.8805526026152155,2,18,Sunday,April,1,2011
14.6,0.054761379554544555,2,0,Saturday,January,1,2009
14.5,0.4060611131108922,5,15,Saturday,December,1,2013
10.1,2.7145735770479864,2,10,Thursday,May,0,2011
6.0,1.257275472735813,1,11,Sunday,February,1,2013
4.9,1.2944100640041587,1,0,Sunday,July,1,2009
15.0,5.963691717483296,3,22,Wednesday,October,0,2013
6.1,0.8702096392756046,3,23,Friday,January,0,2010
6.1,1.3427969557383161,1,8,Monday,December,0,2009
12.5,2.5522948534280716,3,8,Monday,November,0,2009
8.5,1.4319953262282754,1,14,Tuesday,April,0,2015
9.0,2.96293089257942,1,9,Monday,November,0,2013
12.5,4.265731009233564,1,8,Tuesday,October,0,2014
17.3,7.058929032682397,2,0,Wednesday,April,0,2011
9.7,3.10897905717636,1,19,Monday,August,0,2010
4.5,0.8305452004245922,1,18,Friday,October,0,2014
7.3,2.4174757267630724,1,3,Saturday,May,1,2009
10.9,3.341306728563818,2,19,Friday,July,0,2011
5.3,1.2831335924509977,2,23,Friday,April,0,2009
33.870000000000005,9.738684750187039,1,15,Wednesday,September,0,2010
13.5,3.9411902764962314,1,8,Tuesday,May,0,2013
4.5,0.934476711196634,1,7,Thursday,November,0,2010
21.0,7.8632527855133,1,23,Thursday,April,0,2014
6.1,1.7475074616444461,1,22,Saturday,January,1,2010
12.0,2.032672505540551,2,12,Sunday,May,1,2015
35.83,8.659574538003278,1,22,Sunday,April,1,2013
12.9,4.296423494487838,2,16,Saturday,November,1,2010
9.3,2.7080353960186123,2,17,Sunday,March,1,2011
11.5,2.376374960031134,1,11,Friday,October,0,2014
27.3,8.4098953471048,3,9,Friday,March,0,2011
6.5,1.6214805536186556,1,11,Tuesday,April,0,2013
8.5,3.105082073939288,1,21,Tuesday,January,0,2010
5.7,0.7809248078065899,2,13,Monday,April,0,2009
8.0,1.4381467781328583,2,20,Wednesday,July,0,2014
7.5,1.0285667923902915,1,9,Thursday,September,0,2012
13.7,5.73147347151012,1,14,Saturday,February,1,2009
11.5,4.708696943434112,1,17,Tuesday,January,0,2013
20.5,9.836870379134638,1,2,Monday,January,0,2010
11.3,3.2768577927202833,2,14,Saturday,August,1,2009
3.5,0.6913772758575647,3,13,Sunday,May,1,2014
8.9,1.9694240618205612,1,11,Thursday,September,0,2010
4.0,0.763882984493058,1,7,Tuesday,April,0,2014
9.3,2.3440289961013905,2,15,Friday,November,0,2010
3.0,0.23214228934325787,1,1,Wednesday,September,0,2013
8.5,1.4515682412298023,1,8,Friday,November,0,2010
19.7,8.904223848233757,1,0,Saturday,November,1,2011
7.0,1.523862814506051,2,23,Saturday,September,1,2012
8.1,2.851309087495586,2,3,Sunday,October,1,2010
15.0,5.225322527957167,1,22,Thursday,November,0,2012
10.1,3.5522284900904335,2,23,Friday,April,0,2011
5.3,0.8460073332546824,4,20,Saturday,December,1,2011
6.1,2.426882278577473,1,15,Tuesday,July,0,2010
19.3,5.051008980874002,1,12,Saturday,April,1,2011
7.7,1.9802914579310649,1,16,Thursday,April,0,2010
6.1,1.0412669623971154,1,1,Thursday,May,0,2012
8.5,2.52655211745888,2,9,Saturday,July,1,2014
6.5,2.040198166668716,1,23,Sunday,March,1,2010
6.9,1.641178585642757,1,14,Saturday,August,1,2009
6.9,2.804593813208116,1,3,Sunday,September,1,2011
16.5,5.544958730552851,5,7,Tuesday,March,0,2015
10.1,2.985627611490006,2,8,Friday,July,0,2010
6.0,0.7382674475458008,1,8,Friday,February,0,2013
26.9,14.252231550621486,1,1,Saturday,September,1,2009
14.5,2.154735940494073,1,9,Wednesday,October,0,2014
4.9,0.7639402227350996,3,18,Monday,June,0,2010
7.5,1.8104881851380457,5,16,Saturday,August,1,2013
33.2,9.164937130884777,5,17,Monday,March,0,2010
14.0,5.002054826603548,1,3,Friday,September,0,2013
6.0,1.0525346309477366,1,8,Tuesday,November,0,2014
4.1,0.654073832887346,1,21,Saturday,January,1,2010
8.9,4.939900017295666,1,1,Friday,August,0,2009
13.5,5.013397595050119,1,5,Wednesday,October,0,2013
50.0,0.00023779227449218274,1,20,Thursday,March,0,2009
11.0,4.039029561404094,1,3,Wednesday,December,0,2014
5.7,1.1242523031777996,1,14,Tuesday,June,0,2012
7.3,3.0306381356699363,2,0,Wednesday,February,0,2011
7.5,1.7233045280186685,1,11,Thursday,January,0,2014
8.1,2.08150044520145,1,17,Tuesday,June,0,2010
5.0,1.079657352010043,5,23,Thursday,November,0,2013
12.0,2.031165267856545,1,22,Wednesday,December,0,2012
9.5,3.915931839394268,1,21,Tuesday,June,0,2013
52.5,15.834772088358937,1,10,Wednesday,March,0,2012
13.5,5.085591546964283,1,18,Sunday,April,1,2014
8.1,1.867515974664919,1,21,Friday,August,0,2012
8.5,2.309992909053225,1,20,Saturday,December,1,2011
5.7,0.7605534611679908,1,10,Tuesday,December,0,2009
4.1,0.49854836598079805,1,12,Saturday,February,1,2009
6.9,1.2982378662964003,5,19,Friday,January,0,2010
9.5,3.051936154482806,1,6,Saturday,November,1,2014
13.3,3.7636332963626207,5,20,Sunday,July,1,2009
13.7,3.655855293350007,5,0,Sunday,October,1,2009
6.1,2.1885853937196242,1,21,Friday,March,0,2010
4.1,1.32162976694018,1,17,Sunday,January,1,2010
42.1,14.033752157663915,1,15,Friday,June,0,2011
11.0,2.603648538655707,1,21,Thursday,March,0,2009
31.5,17.872699127721326,1,0,Wednesday,August,0,2011
15.3,6.078805514257461,2,21,Tuesday,February,0,2012
12.9,2.550257324566247,1,0,Saturday,September,1,2009
7.0,1.491799493771688,1,20,Monday,October,0,2013
18.5,3.2505020327153504,1,16,Wednesday,June,0,2014
7.5,1.7881805144461707,2,12,Sunday,February,1,2014
12.5,8.589276363562805,1,11,Monday,September,0,2014
12.1,3.315567421835763,2,17,Monday,March,0,2009
12.0,3.4353691175563923,4,10,Sunday,March,1,2015
4.5,0.3490302718096606,1,16,Saturday,August,1,2011
12.5,4.099914794318567,1,21,Friday,September,0,2014
57.33,22.410752917114642,2,4,Thursday,October,0,2014
14.5,3.6217296579151164,1,16,Friday,May,0,2015
8.1,2.398453619264025,2,22,Saturday,September,1,2009
14.5,2.680173177487471,1,10,Wednesday,November,0,2012
17.5,6.456468703882098,1,16,Monday,August,0,2013
17.3,6.100532472814172,4,4,Saturday,December,1,2010
17.3,3.7030053407691765,2,20,Saturday,March,1,2009
10.5,3.9099726143875335,2,23,Thursday,July,0,2013
7.3,2.482499720721666,1,11,Saturday,January,1,2011
19.5,7.531224184975486,1,18,Tuesday,April,0,2014
7.0,2.12496973824441,1,23,Thursday,October,0,2013
11.0,2.7568885340895477,2,20,Friday,July,0,2013
8.9,1.8249723309231665,2,11,Thursday,October,0,2011
8.5,1.9891579600288707,1,20,Friday,September,0,2014
5.3,1.0903006633139043,1,2,Sunday,February,1,2010
13.7,5.309584009944978,3,18,Monday,March,0,2010
5.3,0.8934376972861217,1,13,Wednesday,December,0,2010
6.1,1.389779413894639,1,19,Monday,January,0,2011
4.9,1.078016905261781,1,23,Thursday,June,0,2010
7.0,1.2970045016526883,1,18,Monday,January,0,2014
18.67,8.072235326867311,1,7,Saturday,November,1,2010
5.5,0.6034804041145712,1,8,Monday,November,0,2014
8.5,3.188904767626737,3,16,Saturday,September,1,2012
8.5,0.8650306492226505,1,9,Friday,October,0,2014
12.1,4.026725747308499,1,11,Sunday,December,1,2009
11.5,4.378237466026192,1,3,Sunday,August,1,2013
4.9,1.0967868930477997,2,23,Friday,June,0,2009
6.0,0.8494857840880504,1,23,Saturday,July,1,2013
11.7,4.717453906133973,2,19,Friday,February,0,2010
6.0,0.911408407305797,2,17,Tuesday,November,0,2013
8.9,2.689434573811632,1,17,Tuesday,May,0,2011
13.0,3.09797816534102,1,15,Saturday,December,1,2014
11.5,3.5924758869348254,1,17,Saturday,September,1,2012
13.3,5.150793278264371,1,10,Tuesday,July,0,2012
13.0,3.3753092015326946,1,18,Saturday,May,1,2014
35.5,14.149130636559375,1,1,Monday,March,0,2015
4.9,0.9435305162528711,5,1,Friday,August,0,2009
14.1,4.493956801065922,2,13,Saturday,February,1,2009
11.0,2.864809742655405,1,20,Wednesday,April,0,2014
7.7,1.4156005096660553,1,10,Monday,February,0,2011
7.5,2.202469480585666,1,20,Monday,November,0,2014
9.5,2.248162888272427,6,22,Thursday,July,0,2013
11.0,2.9492361155803213,1,14,Sunday,December,1,2012
5.7,2.3889464260295434,1,15,Monday,July,0,2010
19.5,5.9373843189084745,1,10,Wednesday,March,0,2014
3.3,0.32397562020554976,4,12,Tuesday,January,0,2012
30.9,16.7059719888673,1,4,Thursday,July,0,2009
15.0,4.722480494232494,1,0,Sunday,April,1,2015
9.7,2.389177235469326,1,4,Friday,June,0,2010
10.5,3.0634227333117985,2,14,Wednesday,June,0,2015
3.5,0.2812243384341714,1,18,Tuesday,January,0,2013
12.0,4.018338809874414,2,11,Monday,May,0,2014
13.5,2.3733433112191937,1,8,Thursday,May,0,2015
23.0,5.2763885136522655,1,10,Tuesday,June,0,2015
10.0,3.5186032787820687,2,6,Friday,April,0,2013
17.5,7.052997779481217,2,22,Monday,December,0,2014
6.0,1.537881378087959,1,17,Monday,November,0,2012
4.0,0.7092296979691789,1,0,Thursday,August,0,2014
8.9,3.268834060672576,1,23,Tuesday,February,0,2011
6.9,2.442998897706101,1,21,Sunday,November,1,2011
53.0,3.773558589946469,1,21,Thursday,May,0,2009
45.0,23.105846049819885,1,7,Saturday,July,1,2012
4.9,0.6624801280687536,3,16,Friday,August,0,2011
16.9,1.3674104520391126,5,20,Wednesday,September,0,2010
5.3,0.7225562280767661,1,15,Wednesday,May,0,2009
49.8,19.860241311343163,1,12,Thursday,January,0,2012
25.0,8.102795684620204,1,4,Saturday,November,1,2014
8.9,2.1424230641678643,1,11,Thursday,December,0,2011
5.5,0.8274710993280985,4,20,Monday,September,0,2014
19.3,5.297873396633163,2,19,Saturday,April,1,2010
13.5,4.857179489718176,3,2,Sunday,July,1,2014
4.9,0.4999630542294047,2,2,Saturday,February,1,2012
4.5,0.9492804247947413,1,11,Friday,November,0,2009
14.9,5.260549001629588,1,18,Friday,May,0,2010
6.1,1.0869362548901116,1,20,Thursday,November,0,2011
19.3,7.344127131678534,1,19,Sunday,September,1,2011
